lap_distance_m,speed_kph,throttle,brake
1820.0,249.60075600756008,1.0,0.0
1825.0,250.08057142857143,1.0,0.0
1830.0,250.79485714285715,1.0,0.0
1835.0,251.50914285714288,1.0,0.0
1840.0,252.22167103677984,1.0,0.0
1845.0,252.93033803415776,1.0,0.0
1850.0,253.63900503153567,1.0,0.0
1855.0,254.42949690673515,1.0,0.0
1860.0,255.30494922376562,1.0,0.0
1865.0,256.1804015407961,1.0,0.0
1870.0,257.0662558847964,1.0,0.0
1875.0,258.1047493769039,1.0,0.0
1880.0,259.1432428690114,1.0,0.0
1885.0,260.0603448275862,1.0,0.0
1890.0,260.4051724137931,1.0,0.0
1895.0,260.75,1.0,0.0
1900.0,261.2812436080998,1.0,0.0
1905.0,262.3039476375537,1.0,0.0
1910.0,263.3266516670076,1.0,0.0
1915.0,264.1450284452747,1.0,0.0
1920.0,264.56958478390084,1.0,0.0
1925.0,264.99414112252697,1.0,0.0
1930.0,265.83104407179576,1.0,0.0
1935.0,266.6737170304205,1.0,0.0
1940.0,267.40702733220417,1.0,0.0
1945.0,268.0712364252267,1.0,0.0
1950.0,268.73544551824915,1.0,0.0
1955.0,269.3996546112716,1.0,0.0
1960.0,270.06386370429414,1.0,0.0
1965.0,270.7280727973166,1.0,0.0
1970.0,271.389398035208,1.0,0.0
1975.0,272.0487242038636,1.0,0.0
1980.0,272.70805037251927,1.0,0.0
1985.0,273.26050773762216,1.0,0.0
1990.0,273.72803777642713,1.0,0.0
1995.0,274.19556781523215,1.0,0.0
2000.0,274.6630978540371,1.0,0.0
2005.0,275.1134757533913,1.0,0.0
